Relatório de palavras-chave da rede de pesquisa
23 de Novembro de 2021 - 23 de Novembro de 2021
Status da palavra-chave,Palavra-chave,Tipo de corresp.,Campanha,Grupo de anúncios,Status,Motivos do status,Código da moeda,CPC máx.,URL final,URL final para dispositivos móveis,Impr.,Interações,Taxa de interação,Custo médio,Custo,Conversões,Custo / conv.,Taxa de conv.
Ativado,"""placa novo padrão mercosul""",Correspondência de frase,Rede de pesquisa (Manual) com imagens e valores,Placas Mercosul,Não qualificado,raramente exibido,BRL,"0,10",,,0,0, --, --,"0,00","0,00","0,00","0,00%"
Ativado,"""placa mercosul na zona sul""",Correspondência de frase,Rede de pesquisa (Manual) com imagens e valores,Placas Mercosul,Não qualificado,raramente exibido,BRL,"0,10",,,0,0, --, --,"0,00","0,00","0,00","0,00%"
Ativado,placas carretinha,Correspondência ampla,Rede de pesquisa (Manual) com imagens e valores,Placas Mercosul,Qualificado,,BRL,"0,10",,,0,0, --, --,"0,00","0,00","0,00","0,00%"
Ativado,placa Mercosul barata,Correspondência ampla,Rede de pesquisa (Manual) com imagens e valores,Placas Mercosul,Qualificado,,BRL,"0,20",,,0,0, --, --,"0,00","0,00","0,00","0,00%"
Ativado,"""placa Mercosul barata""",Correspondência de frase,Rede de pesquisa (Manual) com imagens e valores,Placas Mercosul,Qualificado,,BRL,"0,20",,,0,0, --, --,"0,00","0,00","0,00","0,00%"
Ativado,[Placa Mercosul barata],Correspondência exata,Rede de pesquisa (Manual) com imagens e valores,Placas Mercosul,Qualificado,,BRL,"0,20",,,0,0, --, --,"0,00","0,00","0,00","0,00%"
Ativado,[Novas placas mercosul],Correspondência exata,Rede de pesquisa (Manual) com imagens e valores,Placas Mercosul,Qualificado,,BRL,"0,10",,,0,0, --, --,"0,00","0,00","0,00","0,00%"
Ativado,placas de veiculo,Correspondência ampla,Rede de pesquisa com display (Avançado) remarketing,Display com Pesquisa,Qualificado,,BRL, --,,,156,12,"7,69%","0,55","6,59","1,00","6,59","8,33%"
Ativado,placa mercosul,Correspondência ampla,Rede de pesquisa com display (Avançado) remarketing,Display com Pesquisa,Qualificado,,BRL, --,,,130,7,"5,38%","0,59","4,11","2,00","2,06","28,57%"
Ativado,placa modelo novo,Correspondência ampla,Rede de pesquisa com display (Avançado) remarketing,Display com Pesquisa,Qualificado,,BRL, --,,,7,0,"0,00%", --,"0,00","0,00","0,00","0,00%"
Ativado,placas de veiculos novas,Correspondência ampla,Rede de pesquisa com display (Avançado) remarketing,Display com Pesquisa,Qualificado,,BRL, --,,,12,1,"8,33%","0,55","0,55","0,00","0,00","0,00%"
Ativado,placa de mercosul,Correspondência ampla,Rede de pesquisa com display (Avançado) remarketing,Display com Pesquisa,Qualificado,,BRL, --,,,51,2,"3,92%","0,39","0,78","1,00","0,78","50,00%"
Ativado,mudança da placa mercosul,Correspondência ampla,Rede de pesquisa com display (Avançado) remarketing,Display com Pesquisa,Qualificado,,BRL, --,,,28,0,"0,00%", --,"0,00","0,00","0,00","0,00%"
Ativado,preço da placa mercosul de moto,Correspondência ampla,Rede de pesquisa com display (Avançado) remarketing,Display com Pesquisa,Não qualificado,raramente exibido,BRL, --,,,0,0, --, --,"0,00","0,00","0,00","0,00%"
Ativado,placa padrao mercosul sao paulo,Correspondência ampla,Rede de pesquisa com display (Avançado) remarketing,Display com Pesquisa,Qualificado,,BRL, --,,,10,0,"0,00%", --,"0,00","0,00","0,00","0,00%"
Ativado,emplacamento mercosul são paulo,Correspondência ampla,Rede de pesquisa com display (Avançado) remarketing,Display com Pesquisa,Qualificado,,BRL, --,,,14,1,"7,14%","0,43","0,43","0,00","0,00","0,00%"
Ativado,novas Placas padrão mercosul,Correspondência ampla,Rede de pesquisa com display (Avançado) remarketing,Display com Pesquisa,Não qualificado,raramente exibido,BRL, --,,,0,0, --, --,"0,00","0,00","0,00","0,00%"
Ativado,placas de carros,Correspondência ampla,Rede de Pesquisa 10%,Grupo de anúncios 1 Placas,Qualificado,,BRL, --,,,13,2,"15,38%","0,49","0,97","0,00","0,00","0,00%"
Ativado,detran placa,Correspondência ampla,Rede de Pesquisa 10%,Grupo de anúncios 1 Placas,Qualificado,,BRL, --,,,9,0,"0,00%", --,"0,00","0,00","0,00","0,00%"
Ativado,emplacamento de veiculo,Correspondência ampla,Rede de Pesquisa 10%,Grupo de anúncios 1 Placas,Qualificado,,BRL, --,,,0,0, --, --,"0,00","0,00","0,00","0,00%"
Ativado,emplacadora,Correspondência ampla,Rede de Pesquisa 10%,Grupo de anúncios 1 Placas,Qualificado,,BRL, --,,,2,0,"0,00%", --,"0,00","0,00","0,00","0,00%"
Ativado,quanto custa emplacamento de moto,Correspondência ampla,Rede de Pesquisa 10%,Grupo de anúncios 1 Placas,Qualificado,,BRL, --,,,0,0, --, --,"0,00","0,00","0,00","0,00%"
